"Junior" "Senior" "Rule"
"Spinarerpeton_brevicephalum" "Makowskia_laticephala" "Rule 2B"
"Alveusdectes_fenestratus" "Orobates_pabsti" "Rule 2B"
"Collidosuchus_tchudinovi" "Prionosuchus_plummeri" "Rule 2B"
"Spathicephalus_marsdeni" "Spathicephalus_pereger" "Rule 1B"
"Spathicephalus_marsdeni" "Spathicephalus_mirus" "Rule 2B"
"Spathicephalus_pereger" "Spathicephalus_mirus" "Rule 2B"
"Neopteroplax_conemaughensis" "Neopteroplax_relictus" "Rule 1B"
"Loxomma_lintonensis" "Loxomma_allmanni" "Rule 2B"
"Platyoposaurus_rickardi" "Platyoposaurus_watsoni" "Rule 2B"
"Platyoposaurus_rickardi" "Platyoposaurus_stuckenbergi" "Rule 2B"
"Celtedens_megacephalus" "Celtedens_ibericus" "Rule 2B"
"Anoualerpeton_unicus" "Anoualerpeton_priscus" "Rule 2B"
"Albanerpeton_inexpectatum" "Albanerpeton_sp_UALVP_Unnumbered" "Rule 1B"
"Seymouria_sanjuanensis" "Seymouria_baylorensis" "Rule 2B"
"Gephyrostegus_watsoni" "Gephyrostegus_bohemicus" "Rule 2B"
"Rotaurisaurus_contundo" "Lapillopsis_nana" "Rule 2B"
"Dasyceps_bucklandi" "Dasyceps_microphthalmus" "Rule 1B"
"Tomeia_witecki" "Edingerella_madagascariensis" "Rule 2B"
"Archegosaurus_dyscriton" "Archegosaurus_decheni" "Rule 2B"
"Opisthotriton_kayi" "Prodesmodon_copei" "Rule 1B"
"Marmorerpeton_freemani" "Marmorerpeton_kermacki" "Rule 1B"
"Rewana_quadricuneata" "Rewana_myriadens" "Rule 2B"
"Proxilodon_bonneri" "Huskerpeton_englehorni" "Rule 2B"
"Barasaurus_besairiei" "Owenetta_kitchingorum" "Rule 2B"
"Belebey_vegrandis" "Eudibamus_cursoris" "Rule 1B"
"Lisserpeton_bairdi" "Scapherpeton_tectum" "Rule 1B"
"Piceoerpeton_naylori" "Piceoerpeton_willwoodense" "Rule 1B"
"Proamphiuma_cretacea" "Habrosaurus_dilatus" "Rule 2B"
"Microsauria_indet_FMNH_PR_981" "Microbrachis_pelikani" "Rule 2B"
"Odontochelys_semitestacea" "Proganochelys_quenstedtii" "Rule 1B"
"Aletrimyti_gaskillae" "Dvellecanus_carrolli" "Rule 1B"
"Yuanansuchus_maopingchangensis" "Yuanansuchus_laticeps" "Rule 2B"
"Cyclotosaurus_ebrachensis" "Cyclotosaurus_intermedius" "Rule 1B"
"Ophiderpeton_kirktonense" "Ophiderpeton_brownriggi" "Rule 2B"
"Stanocephalosaurus_birdi" "Stanocephalosaurus_pronus" "Rule 2B"
"Trematosauroidea_indet_SMNS_81772" "Microposaurus_casei" "Rule 2B"
"Compsocerops_sp_ULBRA_PVT_059a_et_059b_et_060_to_062" "Compsocerops_cosgriffi" "Rule 2B"
"Mastodonsaurus_cappelensis" "Mastodonsaurus_giganteus" "Rule 2B"
"Stenotosaurus_semiclausus" "Stenotosaurus_stantonensis" "Rule 2B"
"Cacops_woehri" "Cacops_morrisi" "Rule 2B"
"Eocyclotosaurus_lehmani" "Eocyclotosaurus_wellesi" "Rule 2B"
"Kestrosaurus_dreyeri" "Xenotosuchus_africanus" "Rule 2B"
"Rhinesuchidae_indet_UFRGSPV0352P_and_0235P_and_0347P_and_0348P_and_0349P_and_0350P_and_0356P" "Australerpeton_cosgriffi" "Rule 2B"
"Rhinesuchoides_capensis" "Rhinesuchoides_tenuiceps" "Rule 1B"
"Tertremoides_madagascariensis" "Trematolestes_hagdorni" "Rule 2B"
"Sclerocephalus_jogischneideri" "Sclerocephalus_nobilis" "Rule 1B"
"Aphaneramma_kokeni" "Aphaneramma_rostratum" "Rule 2B"
"Deltasaurus_pustulatus" "Deltasaurus_kimberleyensis" "Rule 2B"
"Mordex_calliprepes" "Mordex_laticeps" "Rule 1B"
"Crinodon_limnophyes" "Tuditanus_punctulatus" "Rule 2B"
"Epicrionops_bicolor" "Ichthyophis_bannanicus" "Rule 1B"
"Notophthalmus_crassus" "Notophthalmus_viridescens" "Rule 1B"
"Triturus_marmoratus" "Triturus_roehrsi" "Rule 1B"
"Bufo_bufo" "Bufo_viridis" "Rule 2B"
"Euryodus_bonneri" "Euryodus_dalyae" "Rule 2B"
"Euryodus_bonneri" "Euryodus_primus" "Rule 2B"
"Spea_bombifrons" "Spea_hammondii" "Rule 1B"
"Diplocaulus_primus" "Diplocaulus_magnicornis" "Rule 2B"
"Acheloma_dunni" "Acheloma_cumminsi" "Rule 2B"
"Trimerorhachis_greggi" "Trimerorhachis_sandovalensis" "Rule 1B"
"Trimerorhachis_greggi" "Trimerorhachis_insignis" "Rule 2B"
"Trimerorhachis_sandovalensis" "Trimerorhachis_insignis" "Rule 2B"
"Branchiosaurus_darrahi" "Branchiosaurus_salamandroides" "Rule 2B"
"Captorhinus_aguti" "Captorhinus_laticeps" "Rule 2B"
"Phlegethontia_sp_MNHN_SOT_II_101076" "Phlegethontia_linearis" "Rule 2B"
"Phlegethontia_sp_MNHN_SOT_II_101076" "Phlegethontia_longissima" "Rule 2B"
"Euryodus_dalyae" "Euryodus_primus" "Rule 1B"
"Brachydectes_elongatus" "Brachydectes_newberryi" "Rule 2B"
"Leptorophus_raischi" "Leptorophus_tener" "Rule 2B"
"Batropetes_palatinus" "Batropetes_fritschia" "Rule 2B"
"Apateon_caducus" "Apateon_flagrifer" "Rule 1B"
