"junior" "senior" "rule"
"Diadectes_sp_CM_25741" "Diadectes_zenos" "rule_2b"
"Diadectes_sideropelicus" "Diadectes_tenuitectes" "rule_1b"
"Diadectes_sideropelicus" "Diadectes_zenos" "rule_2b"
"Diadectes_sideropelicus" "Diadectes_carinatus" "rule_2b"
"Diadectes_sideropelicus" "Diadectes_lentus" "rule_2b"
"Diadectes_tenuitectes" "Diadectes_zenos" "rule_2b"
"Diadectes_tenuitectes" "Diadectes_carinatus" "rule_2b"
"Diadectes_tenuitectes" "Diadectes_lentus" "rule_2b"
"Chasmatosaurus_yuani" "Proterosuchus_fergusi" "rule_2b"
"Garjainia_prima" "Erythrosuchus_africanus" "rule_2b"
"Garjainia_prima" "Shansisuchus_shansisuchus" "rule_2b"
"Microcnemus_efremovi" "Malerisaurus_robinsonae" "rule_2b"
"Youngosuchus_sinensis" "Procerosuchus_celer" "rule_2b"
"Anomoiodon_liliensterni" "Hypsognathus_fenneri" "rule_1b"
"Anomoiodon_liliensterni" "Leptopleuron_lacertinum" "rule_1b"
"Eumetabolodon_bathycephalus" "Eumetabolodon_dongshengensis" "rule_1b"
"Hypsognathus_fenneri" "Leptopleuron_lacertinum" "rule_1b"
"Kapes_amaenus" "Kapes_komiensis" "rule_1b"
"Kapes_amaenus" "Kapes_majmesculae" "rule_1b"
"Kapes_komiensis" "Kapes_majmesculae" "rule_1b"
"Koiloskiosaurus_coburgiensis" "Neoprocolophon_asiaticus" "rule_1b"
"Koiloskiosaurus_coburgiensis" "Phaanthosaurus_simus" "rule_1b"
"Koiloskiosaurus_coburgiensis" "Tichvinskia_burtensis" "rule_1b"
"Myocephalus_crassidens" "Procolophon_trigoniceps" "rule_2b"
"Neoprocolophon_asiaticus" "Phaanthosaurus_simus" "rule_1b"
"Neoprocolophon_asiaticus" "Tichvinskia_burtensis" "rule_1b"
"Orenburgia_bruma" "Orenburgia_enigmaticus" "rule_1b"
"Phaanthosaurus_simus" "Tichvinskia_burtensis" "rule_1b"
"Kashmirosaurus_ornatus" "Bashkirosaurus_tcherdyncevi" "rule_2b"
"Kashmirosaurus_ornatus" "Collidosuchus_tchudinovi" "rule_2b"
"Kashmirosaurus_ornatus" "Prionosuchus_plummeri" "rule_2b"
"Melosaurus_sp_PIN_157_slash_139" "Melosaurus_sp_PIN_2255_slash_6" "rule_1b"
"Melosaurus_sp_PIN_157_slash_139" "Melosaurus_sp_PIN_271_slash_100" "rule_1b"
"Melosaurus_sp_PIN_157_slash_139" "Melosaurus_sp_PIN_271_slash_14" "rule_1b"
"Melosaurus_sp_PIN_157_slash_139" "Melosaurus_kamaensis" "rule_2b"
"Melosaurus_sp_PIN_2255_slash_6" "Melosaurus_sp_PIN_271_slash_100" "rule_1b"
"Melosaurus_sp_PIN_2255_slash_6" "Melosaurus_sp_PIN_271_slash_14" "rule_1b"
"Melosaurus_sp_PIN_2255_slash_6" "Melosaurus_kamaensis" "rule_2b"
"Melosaurus_sp_PIN_271_slash_100" "Melosaurus_sp_PIN_271_slash_14" "rule_1b"
"Melosaurus_sp_PIN_271_slash_100" "Melosaurus_kamaensis" "rule_2b"
"Melosaurus_sp_PIN_271_slash_14" "Melosaurus_kamaensis" "rule_2b"
"Protoclepsydrops_haplous" "Echinerpeton_intermedium" "rule_2b"
"Axitectum_georgi" "Axitectum_vjushkovi" "rule_1b"
"Chroniosuchus_licharevi" "Chroniosuchus_paradoxus" "rule_2b"
