"" "MaxAges" "MinAges"
"Dutuitosaurus_ouazzoui" "237" "228"
"Vigilius_wellesi" "247.2" "242"
"Vanastega_plurimidens" "247.2" "242"
"Sangaia_lavinai" "252.17" "247.2"
"Batrachosuchus_concordi" "247.2" "242"
"Plagiosuchus_pustuliferus" "242" "235"
"Acheloma_dunni" "290.1" "268"
"Panthasaurus_maleriensis" "237" "208.5"
"Rubeostratilia_texensis" "298.9" "290.1"
"Rotaryus_gothae" "290.1" "279.3"
"Keratobrachyops_australis" "252.17" "251.2"
"Xenobrachyops_allos" "252.17" "251.2"
"Rewana_quadricuneata" "252.17" "251.2"
"Rewana_myriadens" "252.17" "251.2"
"Rotaurisaurus_contundo" "252.17" "251.2"
"Deltasaurus_kimberleyensis" "252.17" "251.2"
"Deltasaurus_pustulatus" "252.17" "247.2"
"Indobrachyops_panchetensis" "252.17" "247.2"
"Batrachosuchus_henwoodi" "252.17" "247.2"
"Derwentia_warreni" "252.17" "251.2"
"Compsocerops_cosgriffi" "228" "208.5"
"Eolydekkerina_magna" "252.17" "247.2"
"Mahavisaurus_dentatus" "251.3" "247.2"
"Laidleria_gracilis" "247.2" "242"
"Pneumatostega_potamia" "252.17" "251.2"
"Micropholis_stowi" "252.17" "251.2"
"Bathignathus_poikilops" "251.2" "247.2"
"Perryella_olsoni" "290.1" "268"
"Scapanops_neglecta" "298.9" "295.5"
"Conjunctio_multidens" "298.9" "290.1"
"Dasyceps_bucklandi" "298.9" "295.5"
"Micromelerpeton_credneri" "298.9" "295"
"Leptorophus_tener" "298.9" "295"
"Plemmyradytes_shintoni" "298.9" "295.5"
"Fedexia_striegeli" "303.4" "298.9"
"Broiliellus_brevis" "296.4" "268"
"Broiliellus_reiszi" "296.4" "268"
"Schoenfelderpeton_prescheri" "298.9" "295"
"Iberospondylus_schultzei" "303.4" "301.2"
"Tersomius_dolesensis" "290.1" "268"
"Ecolsonia_cutlerensis" "296.4" "268"
"Actiobates_peabodyi" "305.9" "303.4"
"Branchiosaurus_salamandroides" "311.45" "306.95"
"Leptorophus_raischi" "298.9" "295"
"Cacops_woehri" "290.1" "268"
"Brevidorsum_profundum" "298.9" "290.1"
"Limnogyrinus_elegans" "311.45" "306.95"
"Aspidosaurus_novomexicanus" "303.4" "298.9"
"Mordex_laticeps" "311.45" "306.95"
"Aspidosaurus_binasser" "290.1" "272.3"
"Melanerpeton_sembachense" "303.7" "298.9"
"Melanerpeton_eisfeldi" "298.9" "295.5"
"Melanerpeton_humbergense" "298.9" "295.5"
"Apateon_kontheri" "298.9" "295.5"
"Apateon_flagrifer" "298.9" "295.5"
"Apateon_dracyi" "303.7" "298.9"
"Apateon_caducus" "298.9" "295.5"
"Apateon_pedestris" "301.2" "298.9"
"Palatinerpeton_kraetschmeri" "298.9" "290.1"
"Chinlestegophis_jenkinsi" "228" "208.5"
"Kamacops_acervalis" "268" "265"
"Zygosaurus_lucius" "268" "265"
"Boreopelta_vavilovi" "251.2" "247.2"
"Bathignathus_watsoni" "247.2" "242"
"Reiszerpeton_renascentis" "298.9" "290.1"
"Mordex_calliprepes" "311.45" "306.95"
"Branchiosaurus_darrahi" "306.95" "298.9"
"Eopelobates_grandis" "37.2" "33.9"
"Lisserpeton_bairdi" "72.1" "70.6"
"Habrosaurus_dilatus" "72.1" "70.6"
"Opisthotriton_kayi" "83.5" "72.1"
"Scapherpeton_tectum" "83.5" "72.1"
"Prodesmodon_copei" "72.1" "70.6"
"Proamphiuma_cretacea" "72.1" "66"
"Bufo_woodhousei" "10.3" "4.9"
"Albanerpeton_cifellii" "93.5" "89.3"
"Notophthalmus_viridescens" "0.126" "0.0117"
"Bufo_terrestris" "0.781" "0.3"
"Bufo_marinus" "13.6" "11.8"
"Albanerpeton_nexuosus" "85.8" "83.5"
"Jeholotriton_paradoxus" "164.7" "161.2"
"Valdotriton_gracilis" "130" "125.45"
"Tersomius_texensis" "290.1" "279.3"
"Bufo_bufo" "5.333" "3.6"
"Eopelobates_anthracinus" "28.4" "23.03"
"Bufo_viridis" "7.246" "5.333"
"Bufo_americanus" "1.8" "0.3"
"Czatkobatrachus_polonicus" "251.2" "247.2"
"Eodiscoglossus_oxoniensis" "167.7" "164.7"
"Anoualerpeton_priscus" "167.7" "164.7"
"Marmorerpeton_kermacki" "167.7" "164.7"
"Marmorerpeton_freemani" "167.7" "164.7"
"Rana_temporaria" "2.588" "0.781"
"Albanerpeton_gracilis" "83.5" "70.6"
"Piceoerpeton_willwoodense" "58.7" "56.8"
"Anoualerpeton_unicus" "145" "139.8"
"Andrias_scheuchzeri" "28.4" "23.03"
"Chelotriton_paradoxus" "15.97" "13.65"
"Albanerpeton_arthridion" "113" "109"
"Doleserpeton_annectens" "290.1" "268"
"Celtedens_megacephalus" "145" "140.2"
"Eodiscoglossus_santonjae" "130" "125.45"
"Albanerpeton_pannonicus" "5.333" "2.588"
"Eopelobates_bayeri" "33.9" "28.4"
"Eocaecilia_micropodia" "199.3" "182.7"
"Chelomophrynus_bayi" "46.2" "40.4"
"Cryptobranchus_saskatchewanensis" "61.7" "56.8"
"Necturus_krausei" "61.7" "56.8"
"Notophthalmus_crassus" "20.43" "15.97"
"Iridotriton_hechti" "157.3" "152.1"
"Kokartus_honorarius" "167.7" "164.7"
"Cryptobranchus_alleganiensis" "0.126" "0.0117"
"Chunerpeton_tianyiensis" "163.5" "161.2"
"Georgenthalia_clavinasica" "290.1" "279.3"
"Gerobatrachus_hottoni" "279.3" "272.3"
"Macropelobates_osborni" "33.9" "28.4"
"Liaoxitriton_daohugouensis" "164.7" "161.2"
"Liaoxitriton_zhongjiani" "125" "113"
"Regalerpeton_weichangensis" "136.4" "130"
"Prosalirus_bitis" "199.3" "182.7"
"Triadobatrachus_massinoti" "252.17" "247.2"
"Arariphrynus_placidoi" "122.46" "112.03"
"Eurycephalella_alcinae" "122.46" "112.03"
"Cratia_gracilis" "122.46" "112.03"
"Notobatrachus_degiustoi" "168.3" "166.1"
"Liaobatrachus_beipiaoensis" "129.4" "122.46"
"Pangerpeton_sinensis" "163.5" "145"
"Amphibamus_grandiceps" "311.45" "306.95"
"Liaobatrachus_macilentus" "125" "122.46"
"Neusibatrachus_wilferti" "129.4" "125"
"Karaurus_sharovi" "163.5" "152.1"
"Liaobatrachus_grabaui" "130" "122.46"
"Gobiates_spinari" "93.5" "89.3"
"Piceoerpeton_naylori" "70.6" "66"
"Albanerpeton_inexpectatum" "11.1" "9.7"
"Albanerpeton_galaktion" "85.8" "83.5"
"Wesserpeton_evansae" "129.4" "125"
"Dicamptodon_antiquus" "58.7" "56"
"Elkobatrachus_brocki" "46.2" "40.4"
"Triturus_marmoratus" "3.6" "2.588"
"Pelobates_cultripes" "1.806" "0.781"
"Celtedens_ibericus" "130" "125.45"
"Rhinophrynus_dorsalis" "0.126" "0.0117"
"Aviturus_exsecratus" "58.7" "55.8"
"Paranecturus_garbanii" "70.6" "66"
"Triturus_roehrsi" "28.4" "23.03"
"Prospea_holoserisca" "58.7" "55.8"
"Brachydectes_newberryi" "311.45" "306.95"
"Brachydectes_elongatus" "296.4" "295.5"
"Eoscopus_lockardi" "303.4" "298.9"
"Platyrhinops_lyelli" "311.45" "306.95"
"Tephrodytes_brassicarvalis" "30.8" "20.43"
"Aerugoamnis_paulus" "55.8" "50.3"
"Shirerpeton_isajii" "139.8" "132.9"
"Pelodytes_punctatus" "1.806" "0.781"
"Alytes_obstetricans" "1.806" "0.781"
"Vieraella_herbstii" "201.3" "174.1"
"Thoraciliacus_rostriceps" "145" "113"
"Cordicephalus_gracilis" "145" "113"
"Spea_bombifrons" "15.97" "13.6"
"Shelania_laurenti" "56" "33.9"
"Vulcanobatrachus_mandelai" "89.3" "66"
"Xenopus_romeri" "58.7" "48.6"
"Llankibatrachus_truebae" "48.6" "47.8"
"Eoxenopoides_reuningi" "72.1" "59.2"
"Shelania_pascuali" "47.8" "41.3"
"Saltenia_ibanezi" "83.6" "72.1"
"Avitabatrachus_uliana" "99.6" "93.5"
"Spea_hammondii" "0.126" "0.0117"
"Scaphiopus_couchii" "0" "0"
"Spea_intermontana" "0" "0"
"Spea_multiplicata" "0" "0"
"Bufo_melanostictus" "0" "0"
"Andrias_davidianus" "0" "0"
"Andrias_japonicus" "0" "0"
"Necturus_maculosus" "0" "0"
"Proteus_anguinus" "0" "0"
"Salamandra_opaca" "0" "0"
"Neopteroplax_relictus" "306.9" "298.9"
"Proxilodon_bonneri" "295.5" "290.1"
"Metoposaurus_azerouali" "237" "228"
"Arganasaurus_lyazidi" "237" "228"
"Notophthalmus_robustus" "20.4" "16.0"
"Microsauria_indet_FMNH_PR_981" "311.4" "306.9"
"Tetrapoda_indet_NMS987GF65_dot_1" "318.1" "314.6"
"Albanerpetontidae_indet_FUB_A1" "167.7" "164.7"
"Compsocerops_sp_ULBRA_PVT_059a_et_059b_et_060_to_06" "237" "208.5"
"Eryopiformes_indet_POL_dash_F_2012_dash_001" "303.7" "298.9"
"Rhinesuchidae_indet_UFRGSPV0352P_and_0235P_and_0347P_and_0348P_and_0349P_and_0350P_and_0356P" "259.9" "252.5"
"ScaphiopusScaphiopus_holbrooki" "20.4" "16.0"
"Tetrapoda_indet_NSM_987GH65_dot_1" "318.1" "314.6"
"Albanerpeton_sp_UALVP_Unnumbered" "66.0" "56.0"
"Tetrapoda_indet_ANSP_21350" "376.1" "360.7"
"Phlegethontia_sp_MNHN_SOT_II_101076" "304.8" "303.4"
"Trematosauroidea_indet_SMNS_81772" "247.2" "242.0"
"Brachyopidae_indet_QMF14493" "252.3" "251.3"
"Tetrapoda_indet_MB_dot_Am_dot_1441" "345.3" "326.4"
"Tersomius_sp_MCZ_1415" "296.4" "268.0"
