"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills"
"tree_23" 4005.7632 8291.649 73192.897 376.1 0.692452830188679 -106.992989500727 0.891295012605402 0.0453588906139177 7.63286153605194e-05 2.5921764516255e-85 3.60605970517496e-195 0 1 1 0
"tree_24" 4005.7632 8296.849 73192.897 376.1 0.694339622641509 -107.122802466207 0.891223600510745 0.045330462203181 4.00686858393974e-05 2.63719666162199e-85 4.38972754503621e-195 0 1 1 0
"tree_25" 4005.7632 8226.949 73192.897 376.1 0.692452830188679 -105.377816641783 0.892183543860079 0.0457156109755877 7.63286153605194e-05 2.09215346763454e-85 3.09562845080711e-196 0 1 1 0
"tree_26" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_27" 4005.7632 8281.699 73192.897 376.1 0.692452830188679 -106.744597384089 0.89143165690191 0.0454133867941832 7.63286153605194e-05 2.50815774087596e-85 2.47453183610886e-195 0 1 1 0
"tree_28" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_29" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_30" 4005.7632 8258.249 73192.897 376.1 0.690566037735849 -106.159190837841 0.891753697982623 0.0455423419661965 0.000141879755724748 2.32073254953711e-85 1.01726217041709e-195 0 1 1 0
"tree_31" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_32" 4005.7632 8326.049 73192.897 376.1 0.694339622641509 -107.851752195437 0.890822594133054 0.0451714852987293 4.00686858393974e-05 2.90487802768002e-85 1.32193818413723e-194 0 1 1 0
"tree_33" 4005.7632 8326.049 73192.897 376.1 0.694339622641509 -107.851752195437 0.890822594133054 0.0451714852987293 4.00686858393974e-05 2.90487802768002e-85 1.32193818413723e-194 0 1 1 0
"tree_34" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_35" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_36" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_37" 4005.7632 8372.819 73192.897 376.1 0.690566037735849 -109.019319963796 0.890180297273993 0.0449191604404681 0.000141879755724748 3.39120793502686e-85 7.67768945837299e-194 0 1 1 0
